productname,bio,price,link,imgpath,
BC327,"Tranzystor: PNP; bipolarny; 50V; 0,8A; 0,625W; TO92","1,12",https://mbspshop.wixsite.com/net-pl/product-page/bc327,"https://static.wixstatic.com/media/2ec6e0_eed3f550d36b4512be59678afc034376~mv2.jpg/v1/fill/w_500,h_500,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/2ec6e0_eed3f550d36b4512be59678afc034376~mv2.jpg",
BC337,"Tranzystor: NPN; bipolarny; 45V; 0,8A; 625mW; TO92","1,12",https://mbspshop.wixsite.com/net-pl/product-page/bc337,"https://static.wixstatic.com/media/2ec6e0_eed3f550d36b4512be59678afc034376~mv2.jpg/v1/fill/w_500,h_500,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/2ec6e0_eed3f550d36b4512be59678afc034376~mv2.jpg",
BD136,"Tranzystor: PNP; bipolarny; 45V; 1,5A; 12,5W; SOT32","1,54",https://mbspshop.wixsite.com/net-pl/product-page/bd136,https://static.wixstatic.com/media/2ec6e0_46b3c463dc9d4ed48f51b01595937dcc~mv2.webp,
BD135,"Tranzystor: NPN; bipolarny; 45V; 1,5A; 12,5W; SOT32","1,54",https://mbspshop.wixsite.com/net-pl/product-page/bd135,,https://static.wixstatic.com/media/2ec6e0_46b3c463dc9d4ed48f51b01595937dcc~mv2.webp
IRF520PBF,"Tranzystor: N-MOSFET; unipolarny; 100V; 6,5A; 60W; TO220AB","4,5",https://mbspshop.wixsite.com/net-pl/product-page/irf520pbf,"https://static.wixstatic.com/media/2ec6e0_e1acbc501efd492da9e3252fe5c55c0b~mv2.jpg/v1/fill/w_315,h_315,al_c,lg_1,q_80,enc_auto/2ec6e0_e1acbc501efd492da9e3252fe5c55c0b~mv2.jpg",
microswitch 3 pin,Sprzedawane przez: MB&SP.com,"1,5",https://mbspshop.wixsite.com/net-pl/product-page/microswitch-3-pin,"https://static.wixstatic.com/media/2ec6e0_b4006a1b74264aa88291ace5a9e78f72~mv2.png/v1/fill/w_500,h_667,al_c,lg_1,q_85,enc_auto/2ec6e0_b4006a1b74264aa88291ace5a9e78f72~mv2.png",
KOSZYK POJEMNIK BATERII 2x AA z wy��cznikiem,,,,,
radiator TO220,,,,,
"Listwa zaciskowa; k�towe 90�; 5,08mm; tory: 3; na PCB; ARK",,,,,
"Listwa zaciskowa; k�towe 90�; 5,08mm; tory: 2; na PCB; ARK",,,,,
